zip_code,radius
35592,19755.403206969502
35616,22327.68571785882
35621,10618.384231337508
35651,10097.243044471363
36010,18981.39697948947
36036,17804.34550492797
36064,14653.533139226249
36080,10966.257975652154
36110,8820.09963316359
36250,6970.9226392324135
36276,21013.00007117639
36322,15110.507960529596
36460,19866.99501966076
36545,45646.57261060288
36579,22345.227863715918
36603,4083.0924300639035
36782,18020.48703002646
36916,14804.548811815635
36741,14639.948424441158
35007,8316.973864418289
35010,22155.620015127275
35020,4397.813532796811
35043,12505.62951686217
35073,9003.999292404693
33412,12465.89578037013
33435,3020.646976827135
33440,39239.38179169714
33442,4213.924709484533
33471,29716.67460614966
33514,6145.157656154184
33559,5238.304314644046
33578,7945.664089791093
33713,2907.915006342334
33777,3661.4642495873613
33782,5274.562720269076
33890,23034.523016236413
33950,7706.950632799116
34113,6633.245749719416
34203,6485.090548530319
34266,39973.64307028743
34288,6742.5118677530745
34638,8032.722457384104
34787,10248.688954236553
33550,242.76550015979603
99516,
99568,
99615,
33433,3850.852532397592
33463,2567.6031192484147
33493,19588.36647022298
33513,15470.397638627328
33534,4752.369576887088
33576,10852.388281986428
33756,3860.8744093214696
33760,1848.7202677877117
33827,9079.240952064809
33860,15189.8352767801
33912,4673.615526235174
33931,11205.800814531893
34103,2600.089483779525
34135,9847.15983700069
34285,4979.353991842511
34473,8560.704941797105
34614,12324.373508628387
34950,2898.7527269258003
33022,128.92938512281395
32024,21936.157497232973
32025,14627.973249064346
32040,15199.65682197759
32044,9001.501607261396
32062,17501.689112364496
99622,
99670,
99682,
99747,
99776,
99929,
99506,
99563,
99574,
99575,
99639,
99644,
99648,
99661,
99723,
99730,
99768,
99769,
99826,
99515,
99573,
99649,
99737,
99755,
32073,7411.054959705984
32082,8920.781311531393
32084,10395.866205538372
32095,11852.451775489375
32119,6797.654808687836
32169,10984.513946063296
32234,17676.11920079284
32258,10241.787798728416
32324,12350.281117453165
32356,11888.95036351373
32407,7970.508880144176
32428,21859.762423214648
32514,5857.7869459586655
32564,16234.892016495163
32609,15554.846344006768
32702,9347.373813703947
32757,6725.930365079366
32809,6575.8035493249945
32909,9163.09595267214
32958,8103.486272780822
32968,15690.235514039554
33032,7652.374871996784
33147,3161.8718233467685
33301,2354.654441898322
99820,
99919,
99925,
99725,
99589,
99630,
99638,
99667,
99722,
99742,
99772,
99788,
99827,
99501,
99540,
99548,
99565,
99571,
99611,
99645,
99656,
99671,
99681,
99703,
33438,13096.631010868608
33469,4846.263942751355
33538,13285.34026274425
33610,7918.2006804041785
33614,2651.036397308567
33635,5214.3747184563
33710,5321.994989673246
33839,2754.0391697175937
33909,10767.415277787019
33946,8861.069793796963
34120,13069.23071804557
34201,2378.2570157685973
34292,9412.423952141067
34446,8758.321106456695
34498,5997.294475681826
34698,6631.853592335159
34746,10668.154331632273
34972,38134.24138016561
32081,8397.376996893294
32087,13861.478622474742
32096,20140.942672197223
32131,8533.969920365395
32148,9141.750429039621
32222,4665.170119625033
